,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
11,Medium and high-tech exports (% manufactured exports),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.083661914292502,18.7901932288136,16.0908667544183,17.2879654348205,18.3475185143425,19.395558182924898,20.3704333510761,20.700624927598803,18.4495951145456,18.0300163549926,18.6799869103853,21.4967258250246,21.5462510464389,22.1994875684007,22.8282776439707,22.5979828939544,23.1763904990123,23.9699252287308,27.2989821895677,28.8628899871325,28.2412482431593,27.67446292234,28.0496334346215,28.696911104433397,30.2073979064013,33.8905663476031,34.070523852755905,33.8424634119966,34.7731280144829,36.668956495069,40.0356025533539,0.0,0.0
12,Commercial service imports (current US$),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011288820.8830938,1088254782.809502,1234808904.011687,1490190462.6396332,2010383971.9647238,2914594802.6702995,3178450157.4680834,3398551291.4347134,3622400850.581201,3550012166.154534,3815194909.41194,3827926652.916145,4515961319.874289,5167884705.127871,5738469741.405236,5942595183.441166,5796636459.4166975,6614564438.535141,6356161517.66056,8030392452.033463,10062141166.508095,11000427519.026062,12277011574.9367,14191837256.183182,17044738890.344332,18897585608.755295,19791960830.135204,20776267074.29654,24678773631.648624,35092846077.4904,46699475816.70353,58040553581.49985,69757132292.77167,55061627135.43778,52308542314.81158,78210856250.61313,76915514527.42882,79215876737.54546,77654804413.35225,80160943501.30864,81766553452.7492,95239156494.08974,108735877735.93509,123046755670.81252,129427489266.98282,114973168616.37111,137035269820.223,175859025975.72278
13,Merchandise imports by the reporting economy (current US$),2249400000.0,2213300000.0,2311200000.0,2438800000.0,2661100000.0,2772900000.0,2731700000.0,2672600000.0,2507480000.0,2116139999.9999998,2093310000.0,2408930000.0,2235360000.0,3233580000.0,5063860000.0,6197190000.0,5098090000.0,6663010000.0,7819490000.0,9898310000.0,14821820000.0,14549560000.0,15634832072.0,13892733307.0,15115251169.0,16328998485.0,15051439900.0,16838039379.000002,19034715452.0,19297491942.0,23991423128.0,19509428000.0,23196569257.0,21268794080.0,25484480716.0,34486530000.0,36054758486.0,40896425000.0,42162075000.0,47900500000.0,50259699995.0,50129318523.0,58811451699.0,73931350643.0,99815185137.0,139667000000.0,176526000000.0,234640000000.0,321399000000.0,257649000000.0,350780000000.0,465073000000.0,490405000000.0,467939000000.0,460501000000.0,392230000000.0,356320000000.0,442983000000.0,508988000000.0,479894000000.0,368030000000.0,0.0,0.0
14,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),5.370320974482084,4.527176614105634,5.88006230529595,5.752829260291946,4.197512306940738,4.114825633812975,4.389208185379068,3.8389583177430215,4.506516502624149,4.59374143487671,8.41251415222781,9.174197672825695,9.957680194688999,9.451753165222447,18.675674287993743,13.466103185475998,14.5064131861148,16.006729691235645,15.795787193282425,15.158345212465562,19.042263365767496,16.830612059746137,12.518754726573311,11.780218715021649,9.124864646703378,9.440939785913024,5.560472721862849,4.817723155976353,4.494503723036269,3.5881850580176295,5.9825795928642425,6.6286361650377446,7.77935287761118,5.7348597496080504,5.010748883147931,3.8378462547551173,4.17720869825446,4.379967197621797,4.158357955579748,5.733134309662739,2.9403279250513163,1.875322565114616,1.809704359020434,1.3502818862602772,1.2122544944831903,1.3282137154803926,8.350829580345104,10.029556342908286,10.013416777899122,8.69766636392922,7.6497047251838755,8.16989831854354,8.409147765010552,7.848280279694575,7.0181918319395615,5.5265219256558655,6.107699298102829,6.901449942774327,8.615438870857465,6.659155980278979,5.864477042632394,0.0,0.0
15,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),11.60309415844225,9.067907649211584,10.74766355140187,9.254551418730523,8.797113975423697,8.940098813516535,11.91565691693817,9.346703584524434,11.716145293282498,15.222527810069279,17.91086843324687,17.891761072343325,17.924182234628873,18.638165748180036,24.131788793529047,17.49228279268507,19.844686931772486,27.36090745774057,24.286238616584967,22.25501120898416,26.178971273433355,24.1420359103643,18.957189841756172,18.686925923362573,19.053755296995554,17.995457724564794,14.477280580846818,14.774662928007814,14.389250295588973,12.249919042772465,14.080731470618746,14.409720264479306,19.321265032964007,16.001413933864463,20.357785374432545,18.893898574312928,20.866921729222675,21.335666870637226,23.647318117051878,29.285445872172524,19.75330134876982,18.592948744602666,19.819113028624987,19.827342106576154,19.693578221610068,19.882078622724052,33.23300263700531,36.37695747442891,36.78581824959007,38.3247117139985,37.09223750213809,37.58901565388659,38.14389463606611,38.30595594425769,41.34403892130528,43.0329411335186,44.236280867198026,45.54265061932399,44.48895062339387,42.28155592693387,43.4418682572073,0.0,0.0
16,Ores and metals imports (% of merchandise imports),0.0,0.0,6.069707518084436,6.321639261560931,6.325997178419754,7.062249131329594,5.118442190900202,8.00818748349786,6.83931054837715,6.782552937537398,9.871067964020753,8.934272547154592,8.348941392204477,7.10634201364139,6.9068934977612075,5.378180308344018,5.28085326781873,5.880466288285296,5.977355609950428,6.735591764134197,5.92991913216079,5.954250092115833,0.0,5.645865605204743,5.943272117748733,7.016469434400613,7.06231619531599,7.05838994345415,7.673366478174729,8.943249628674836,8.140597491119065,6.403645440224008,6.729635457777433,5.245286507084754,7.44135723751107,6.8483597131629566,6.666932562984663,6.004883889705255,5.562766448488238,4.992608804773308,4.5595172273247355,5.21483878979905,4.441138571935915,3.959639053383321,4.331611365591511,4.816070969080025,5.952278470384549,6.243018431628207,5.478834495864502,5.081029643875442,4.78745313989732,5.536447554158137,5.032597193281659,5.837434879100854,5.943585264865589,6.472134866429678,5.267542353163489,5.640450902609186,5.981754998488766,5.198636378023509,5.23393390284718,5.461133639904117,5.978370262200392
17,Fuel imports (% of merchandise imports),0.0,0.0,8.47351260153046,9.147487238051362,6.936562500230815,5.035746655839091,3.8513318058837562,3.7102707014083176,4.322261254579911,4.066053532983351,7.714515046049278,10.184618101378943,11.942560760372812,13.872991958067903,27.9827094577127,4.394248874978002,25.711963443103553,25.539255828272257,26.097916796869256,33.172868635117524,44.63224686022281,43.633198645652875,0.0,30.67655978953129,31.823660406120624,26.491150789347746,15.057381321249554,19.12837317681365,17.032719120554404,19.531266281279976,27.29197020242965,29.92040169295204,29.514732190959386,27.141925848642167,23.795473002995877,23.669238826100404,29.296396403894963,24.267984411060162,18.962414172166785,28.851280503898323,36.532927909695104,31.118631957876353,31.180319179906814,30.079234049304027,31.48114431328521,32.880481984472034,34.46645573386646,33.49473235088763,36.6905690153122,31.01751588833122,31.663250041092745,34.028033381382464,37.972504228344626,39.51809971156849,38.5148387122449,26.777350937984046,25.03537994892206,27.722837394409005,33.190903370574354,31.880343122831977,28.359091505074787,29.87284032280953,37.84440371248184
18,"Tariff rate, most favored nation, weighted mean, primary products (%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.66,0.0,8.38,0.0,0.0,0.0,18.76,16.2,0.0,23.32,15.89,23.3,19.8,19.87,18.77,15.3,8.31,13.04,6.02,6.08,8.78,7.99,4.96,5.03,0.0,7.44,7.34,5.61,3.88,8.48,5.85,0.0,0.0
19,"Tariff rate, applied, simple mean, primary products (%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.67,0.0,49.21,0.0,0.0,0.0,32.67,27.81,0.0,30.62,32.2,32.89,29.94,28.95,30.6,25.44,20.27,24.22,17.57,17.67,16.48,19.01,19.63,19.57,0.0,18.4,16.64,16.67,16.84,19.39,17.56,0.0,0.0
20,"Tariff rate, most favored nation, weighted mean, all products (%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.36,0.0,27.01,0.0,0.0,0.0,23.72,20.14,0.0,28.54,23.36,26.65,23.08,21.45,22.97,14.06,8.99,11.99,6.13,7.04,7.34,7.33,6.32,6.34,0.0,7.49,7.57,6.85,6.0,8.77,7.65,0.0,0.0
21,"Tariff rate, applied, simple mean, all products (%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.85,0.0,56.02,0.0,0.0,0.0,37.0,28.9,0.0,32.4,33.4,31.79,28.79,25.63,28.57,16.5,13.86,14.66,9.98,10.28,8.88,10.56,10.71,10.59,0.0,9.75,8.91,8.88,9.03,10.21,9.42,0.0,0.0
22,"Tariff rate, most favored nation, weighted mean, manufactured products (%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.1,0.0,42.71,0.0,0.0,0.0,27.23,20.53,0.0,31.44,29.24,28.31,24.88,22.29,25.42,12.78,9.08,10.98,5.67,7.33,5.36,5.92,7.32,7.29,0.0,7.06,7.44,7.33,7.41,8.53,8.46,0.0,0.0
23,"Tariff rate, applied, simple mean, manufactured products (%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.13,0.0,56.95,0.0,0.0,0.0,37.64,29.04,0.0,32.68,33.58,31.62,28.62,25.13,28.26,15.2,12.94,13.3,8.91,9.22,7.78,9.37,9.43,9.3,0.0,8.51,7.84,7.8,7.93,8.86,8.18,0.0,0.0
24,Import volume index (2015 = 100),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0412928536,4.0410722221,4.143697317,4.1310741895,5.4548399473,4.7957177414,4.80183496,6.1364358541,5.6577616315,5.7588203558,6.0924932739,5.9595616008,7.2185304203,8.3860293274,10.1866809019,12.6442642063,13.2912830612,14.6546470313,17.2068647827,17.8283898211,18.7705949032,19.0441809414,19.8687863713,24.4798091754,28.6490438042,36.7589843911,40.9483154006,46.5880817003,58.7969102824,60.9399427768,74.7586069914,82.0027225227,86.7176737561,86.4795994122,89.4759503025,100.0,99.5397946987,109.5761609713,113.3078947036,113.4494492783,96.2088865231,113.3848038187,0.0
25,"International tourism, expenditures for travel items (current US$)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996000000.0,913000000.0,1342000000.0,1713000000.0,2010000000.0,2690000000.0,3006000000.0,2988000000.0,3585000000.0,4816000000.0,6187000000.0,6845000000.0,8219000000.0,9606000000.0,9310000000.0,10490000000.0,13699000000.0,12342000000.0,11615000000.0,14595000000.0,14838000000.0,16376000000.0,18443000000.0,21319000000.0,22915000000.0,12574000000.0,0.0,0.0
26,"International tourism, receipts (% of total exports)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.003500853166493,5.379024674379981,4.672944644604573,5.377673632840837,5.436142962972007,4.954650884568703,4.611618851564366,4.679233818481742,4.084303583080221,0.0,0.0,0.0,4.132071450830537,4.066427630778282,4.274449067243639,5.009438153176264,5.369238372057653,5.696352264646234,5.426573070488892,5.798366218676194,2.7673322284862305,0.0,0.0
27,Unmet need for contraception (% of married women ages 15-49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,0.0,0.0,0.0,0.0,0.0,16.1,0.0,0.0,0.0,21.1,0.0,0.0,13.9,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0,9.4,9.4,0.0
28,Rural population (% of total population),82.076,81.968,81.782,81.595,81.405,81.215,81.023,80.82900000000001,80.634,80.438,80.24,80.009,79.679,79.34700000000001,79.009,78.668,78.32300000000001,77.974,77.621,77.264,76.902,76.583,76.35300000000001,76.121,75.887,75.652,75.415,75.17699999999999,74.937,74.695,74.453,74.22200000000001,74.01599999999999,73.809,73.601,73.393,73.18299999999999,72.97200000000001,72.76,72.547,72.333,72.082,71.756,71.428,71.09700000000001,70.765,70.431,70.094,69.754,69.413,69.07,68.724,68.366,67.997,67.616,67.223,66.818,66.4,65.97,65.52799999999999,65.074,64.607,64.128
29,Completeness of birth registration (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1,0.0,0.0,0.0,0.0,83.6,0.0,0.0,71.9,0.0,79.7,0.0,0.0,0.0,0.0,89.1,0.0
30,"Completeness of birth registration, female (%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.1,0.0,0.0,0.0,0.0,89.4,0.0
31,"Population, female",215819000.0,220791299.0,225898332.0,231120329.0,236446379.0,241740859.0,246951009.0,252216091.0,257695427.0,263380464.0,269208897.0,275180236.0,281308597.0,287642024.0,294137889.0,300723268.0,307373867.0,314189303.0,321198151.0,328422054.0,335953058.0,343719452.0,351626946.0,359724278.0,368029660.0,376475662.0,385067312.0,393755601.0,402535292.0,411461378.0,420468106.0,429478264.0,438527953.0,447615320.0,456726553.0,465846665.0,474932057.0,484031612.0,493147162.0,502255693.0,511410095.0,520679574.0,529978166.0,539178882.0,548274218.0,557161047.0,565762395.0,574185530.0,582492785.0,590747758.0,599047591.0,607376801.0,615647779.0,623809180.0,631697152.0,639323292.0,647012921.0,654607791.0,661854076.0,668786993.0,675389679.0,681060412.0,685992675.0
32,Population growth (annual %),0.0,2.30470638074818,2.31168916319999,2.30907889966126,2.30119179559958,2.23529958573103,2.15183776822664,2.12876735867267,2.16886163107629,2.2031572336638,2.21018327712813,2.21700817584549,2.22743096189467,2.25117630687251,2.25820438079867,2.23845727724451,2.20905061418648,2.20841658709872,2.21293517819365,2.22353406114706,2.2612188534673,2.27589299161564,2.26080777945204,2.25868924622921,2.26275505157058,2.24836240132238,2.23527124737904,2.21094603012958,2.184281790986,2.16921748136657,2.14114053890499,2.10189105362679,2.07434424472354,2.04783736093956,2.02085601987654,1.99187122902055,1.95143550144522,1.91926259528322,1.88755786468172,1.8493332514954,1.82218400218023,1.80844642123748,1.77676787418134,1.72426903226703,1.67281087022876,1.60412916927926,1.52430796041014,1.46637175001498,1.42239150883577,1.39119493033754,1.37759581159767,1.36158808453343,1.33219204981494,1.29754883539168,1.24036218382689,1.18779532005068,1.18504622906796,1.15562449067646,1.08752772157855,1.02531077187097,0.95522085775158,0.797216093898126,0.680372581057012
33,Sex ratio at birth (male births per female births),1.052,1.052,1.052,1.052,1.052,1.052,1.053,1.053,1.053,1.054,1.055,1.055,1.056,1.056,1.058,1.059,1.062,1.062,1.063,1.065,1.067,1.069,1.068,1.068,1.069,1.068,1.068,1.069,1.069,1.067,1.069,1.073,1.076,1.079,1.084,1.089,1.09,1.092,1.093,1.093,1.095,1.093,1.091,1.093,1.094,1.094,1.093,1.093,1.094,1.095,1.096,1.095,1.092,1.091,1.091,1.09,1.088,1.086,1.084,1.082,1.079,1.077,0.0
